trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.001, 'e': 1.0}",20,0,-54.272188911557066,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
127,False,"{'a': 0.001, 'e': 1.0}",25,0,-23.339814256601308,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
128,False,"{'a': 0.001, 'e': 1.0}",30,0,-150.28900034946935,"{0: 15, 1: 8, 2: 5, 3: 0, 4: 2}",0
129,False,"{'a': 0.001, 'e': 1.0}",20,0,-119.28127991168496,"{0: 13, 1: 1, 2: 1, 3: 4, 4: 1}",0
130,False,"{'a': 0.001, 'e': 1.0}",30,0,-236.0700165805896,"{0: 13, 1: 4, 2: 9, 3: 1, 4: 3}",0
131,False,"{'a': 0.001, 'e': 1.0}",20,0,-4.919301858774937,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
132,False,"{'a': 0.001, 'e': 1.0}",25,15,-28.56747247807521,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
133,False,"{'a': 0.001, 'e': 1.0}",25,0,-41.095558415782776,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
134,False,"{'a': 0.001, 'e': 1.0}",25,0,-196.8412941865999,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
135,False,"{'a': 0.001, 'e': 1.0}",20,0,-107.35697065636414,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
136,False,"{'a': 0.001, 'e': 1.0}",20,0,-223.07211530734511,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
137,False,"{'a': 0.001, 'e': 1.0}",20,0,-57.72868757251655,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
138,False,"{'a': 0.001, 'e': 1.0}",30,0,-176.0422248304125,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
139,False,"{'a': 0.001, 'e': 1.0}",20,0,-110.02486907227134,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
140,False,"{'a': 0.001, 'e': 1.0}",20,0,-121.45119273801556,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
141,False,"{'a': 0.001, 'e': 1.0}",35,0,-210.7659282317848,"{0: 21, 1: 1, 2: 8, 3: 2, 4: 3}",0
142,False,"{'a': 0.001, 'e': 1.0}",30,0,-203.49005686981653,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
143,False,"{'a': 0.001, 'e': 1.0}",20,0,-83.1127866742318,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
144,False,"{'a': 0.001, 'e': 1.0}",25,0,-88.01362228938137,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.001, 'e': 1.0}",30,0,-56.1756294016869,"{0: 19, 1: 6, 2: 5, 3: 0, 4: 0}",0
146,False,"{'a': 0.001, 'e': 1.0}",20,0,-145.0239961684097,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
147,False,"{'a': 0.001, 'e': 1.0}",25,0,-130.62881797437163,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
148,False,"{'a': 0.001, 'e': 1.0}",20,0,-64.0274427641242,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
149,False,"{'a': 0.001, 'e': 1.0}",20,0,-151.42112990547508,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
150,False,"{'a': 0.001, 'e': 1.0}",30,0,-161.1220348045789,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
151,False,"{'a': 0.001, 'e': 1.0}",30,0,-141.09632048637002,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",1
152,False,"{'a': 0.001, 'e': 1.0}",25,0,-106.57552873800817,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
153,False,"{'a': 0.001, 'e': 1.0}",25,0,-98.0668529702725,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
154,False,"{'a': 0.001, 'e': 1.0}",25,0,-80.66279203146736,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
155,False,"{'a': 0.001, 'e': 1.0}",20,0,-79.33290732451111,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
156,False,"{'a': 0.001, 'e': 0.9999999999999999}",30,6,-151.58258609489718,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 2}",1
157,False,"{'a': 0.001, 'e': 0.9999999999999999}",20,0,-40.416739670538995,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
158,False,"{'a': 0.001, 'e': 0.9999999999999997}",30,0,-156.27543955740197,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
159,False,"{'a': 0.001, 'e': 0.9999999999999992}",25,0,-94.87565903379794,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
160,False,"{'a': 0.001, 'e': 0.9999999999999983}",25,0,-132.15437235899927,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
161,False,"{'a': 0.001, 'e': 0.999999999999996}",35,10,-115.56382087373161,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",1
162,False,"{'a': 0.001, 'e': 0.9999999999999906}",30,0,-183.81250231181969,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
163,False,"{'a': 0.001, 'e': 0.999999999999978}",35,0,-192.19291554622063,"{0: 21, 1: 4, 2: 7, 3: 0, 4: 3}",0
164,False,"{'a': 0.001, 'e': 0.9999999999999486}",20,0,-118.75315123661784,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
165,False,"{'a': 0.001, 'e': 0.9999999999998799}",20,0,-88.61347436677204,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
166,False,"{'a': 0.001, 'e': 0.9999999999997189}",25,0,-81.48245686943116,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
167,False,"{'a': 0.001, 'e': 0.9999999999993423}",30,19,-23.804757329072757,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
168,False,"{'a': 0.001, 'e': 0.9999999999984611}",25,0,-94.05602582509863,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
169,False,"{'a': 0.001, 'e': 0.9999999999963997}",25,0,-90.14501528948182,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
170,False,"{'a': 0.001, 'e': 0.9999999999915765}",25,0,-58.81316247087647,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
171,False,"{'a': 0.001, 'e': 0.9999999999802921}",20,0,-156.5685047741846,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
172,False,"{'a': 0.001, 'e': 0.9999999999538904}",30,0,-247.3274051170984,"{0: 17, 1: 2, 2: 4, 3: 3, 4: 4}",0
173,False,"{'a': 0.001, 'e': 0.9999999998921199}",20,8,-37.103505804725266,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
174,False,"{'a': 0.001, 'e': 0.9999999997475985}",20,0,-109.85415623103496,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
175,False,"{'a': 0.001, 'e': 0.9999999994094696}",20,0,-74.16704932283491,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
176,False,"{'a': 0.001, 'e': 0.9999999986183674}",30,0,-73.20320035717904,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
177,False,"{'a': 0.001, 'e': 0.9999999967674676}",25,0,-107.71890476210052,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
178,False,"{'a': 0.001, 'e': 0.999999992437016}",20,0,-152.0798080049364,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
179,False,"{'a': 0.001, 'e': 0.9999999823052883}",20,0,-198.71241172716188,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
180,False,"{'a': 0.001, 'e': 0.9999999586006245}",30,0,-69.8182559173892,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
181,False,"{'a': 0.001, 'e': 0.9999999031400869}",20,0,-108.60489391822323,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
182,False,"{'a': 0.001, 'e': 0.9999997733820386}",25,0,-58.8465875032356,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
183,False,"{'a': 0.001, 'e': 0.999999469794161}",25,7,-46.10364631708057,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
184,False,"{'a': 0.001, 'e': 0.9999987595064589}",20,0,-103.84415894691301,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
185,False,"{'a': 0.001, 'e': 0.9999970976880148}",20,0,-101.17087755114869,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
186,False,"{'a': 0.001, 'e': 0.9999932096413019}",20,0,-99.78919496001532,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
187,False,"{'a': 0.001, 'e': 0.9999841131031666}",20,0,-57.46303122702625,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
188,False,"{'a': 0.001, 'e': 0.9999628310628971}",25,20,8.004241993526993,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.001, 'e': 0.9999130421432321}",20,0,-74.13648762671012,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
190,False,"{'a': 0.001, 'e': 0.9997965730219448}",25,0,-81.60406450421446,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
191,False,"{'a': 0.001, 'e': 0.9995241823811617}",30,0,-194.08067982761676,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
192,False,"{'a': 0.001, 'e': 0.9988874639671397}",25,0,-161.518130812521,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
193,False,"{'a': 0.001, 'e': 0.9974009322376767}",25,0,-126.6310998672804,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
194,False,"{'a': 0.001, 'e': 0.9939401985084159}",35,0,-137.08221925056043,"{0: 24, 1: 4, 2: 4, 3: 1, 4: 2}",0
195,False,"{'a': 0.001, 'e': 0.9859363729567545}",25,0,-124.60544013787869,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
196,False,"{'a': 0.001, 'e': 0.9677045353015494}",20,0,-91.57909115857898,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
197,False,"{'a': 0.001, 'e': 0.9275735146384823}",25,2,-173.95358381976234,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 3}",1
